344:['318', '483', '603', '114', '178', '480', '474', '427', '134', '513']
345:['408', '483', '169', '603', '114', '178', '357', '480', '127', '474']
346:['408', '483', '169', '603', '114', '178', '357', '480', '474', '427']
347:['408', '483', '64', '169', '603', '114', '178', '480', '474', '134']
340:['408', '318', '483', '64', '169', '12', '603', '114', '178', '357']
341:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
342:['318', '64', '603', '50', '178', '480', '127', '474', '272', '513']
343:['603', '114', '178', '480', '272', '513', '511', '285', '479', '313']
810:['474', '98', '603', '515', '427', '480', '174', '272', '483', '408']
811:['483', '408', '318', '64', '169', '12', '603', '50', '114', '178']
812:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
813:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
348:['483', '408', '318', '64', '169', '12', '603', '50', '114', '178']
349:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
816:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
817:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
595:['408', '318', '483', '64', '169', '12', '603', '114', '178', '357']
719:['408', '483', '169', '12', '603', '114', '178', '480', '474', '134']
718:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
717:['408', '318', '483', '64', '169', '12', '603', '114', '178', '357']
716:['408', '169', '12', '114', '272', '513', '657', '285', '313', '302']
715:['408', '483', '169', '603', '114', '178', '357', '127', '474', '427']
714:['408', '318', '483', '64', '169', '12', '603', '114', '178', '357']
713:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
712:['408', '318', '483', '64', '169', '12', '603', '114', '357', '480']
711:['12', '603', '178', '357', '480', '127', '474', '174', '513', '657']
710:['408', '169', '114', '178', '480', '98', '474', '427', '272', '513']
915:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
914:['408', '318', '483', '64', '169', '12', '603', '50', '114', '178']
606:['408', '318', '169', '603', '114', '357', '480', '474', '134', '272']
917:['408', '318', '483', '64', '169', '12', '603', '114', '178', '357']
594:['408', '318', '64', '169', '12', '603', '114', '178', '480', '98']
736:['408', '318', '483', '64', '169', '12', '603', '114', '178', '357']
916:['408', '169', '603', '114', '178', '357', '127', '272', '513', '657']
911:['408', '318', '64', '169', '12', '50', '114', '178', '127', '513']
619:['408', '318', '483', '64', '169', '12', '603', '114', '178', '357']
