344:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
345:['1189', '1500', '814', '1536', '1293', '1599', '1653', '1467', '1122', '1201']
346:['1500', '1599', '1122', '1201', '1293', '1653', '1467', '1449', '313', '1189']
347:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
340:['603', '496', '483', '408', '318', '64', '169', '12', '22', '114']
341:['1189', '1500', '814', '1536', '1293', '1599', '1653', '1467', '1122', '1201']
342:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
343:['1189', '814', '1449', '1536', '1398', '1293', '1642', '1653', '1639', '1467']
810:['302', '265', '98', '603', '196', '515', '427', '480', '498', '496']
811:['496', '483', '408', '318', '64', '169', '22', '114', '316', '166']
812:['1500', '1599', '1122', '1201', '1293', '1653', '1467', '1449', '313', '1189']
813:['1500', '1599', '1122', '1201', '1293', '1653', '1467', '1449', '313', '1189']
348:['1500', '1293', '1599', '1653', '1467', '1122', '1201', '1449', '1189', '814']
349:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
816:['1500', '1293', '1599', '1653', '1467', '1122', '1201', '1449', '1189', '814']
817:['1500', '1599', '1122', '1201', '1293', '1653', '1467', '1449', '313', '1189']
595:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
719:['1500', '1599', '1122', '1201', '1293', '1653', '1467', '1449', '313', '1189']
718:['1500', '1293', '1599', '1653', '1467', '1122', '1201', '1449', '313', '1189']
717:['1189', '1500', '814', '1536', '1293', '1599', '1653', '1467', '1122', '1201']
716:['1189', '1500', '814', '1536', '1293', '1599', '1653', '1467', '1122', '1201']
715:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
714:['1500', '1599', '1122', '1201', '1293', '1653', '1467', '1449', '313', '1189']
713:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
712:['1500', '1293', '1599', '1653', '1467', '1122', '1201', '1449', '313', '1189']
711:['1189', '814', '1536', '1398', '1293', '1642', '1653', '1467', '1594', '1449']
710:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
915:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
914:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
606:['1500', '1449', '1293', '1599', '1653', '1467', '1122', '1201', '1189', '814']
917:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
594:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
736:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
916:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
911:['1189', '1500', '814', '1536', '1293', '1599', '1653', '1467', '1122', '1201']
619:['1500', '1599', '1122', '1201', '1293', '1653', '1467', '1449', '1189', '814']
910:['1189', '814', '1536', '1293', '1653', '1467', '1500', '1599', '1122', '1201']
913:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
298:['313', '1189', '1500', '814', '1449', '1536', '1293', '1599', '1653', '1467']
299:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
296:['474', '603', '408', '178', '318', '64', '169', '12', '185', '611']
297:['1189', '814', '1536', '1293', '1653', '1467', '1398', '1642', '1594', '1449']
