344:['1500', '814', '1536', '1599', '1467', '1653', '1642', '1449', '1293', '1398']
345:['1500', '814', '1536', '1599', '1467', '1642', '1653', '1398', '1293', '1449']
346:['814', '1536', '1467', '1599', '1500', '1653', '1642', '1398', '1449', '1293']
347:['1500', '814', '1536', '1467', '1599', '1653', '1642', '1293', '1449', '1398']
340:['408', '318', '64', '251', '320', '1306', '1189', '1500', '1463', '119']
341:['868', '1500', '814', '1368', '1398', '1599', '1642', '1662', '1467', '1449']
342:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1449', '1398', '1367']
343:['1189', '1500', '814', '1449', '1536', '1398', '1293', '1651', '1599', '1642']
810:['474', '603', '515', '132', '272', '483', '408', '318', '64', '134']
811:['408', '318', '169', '114', '1189', '1500', '119', '814', '1449', '1536']
812:['814', '1536', '1467', '1500', '1599', '1653', '1367', '1642', '1293', '1554']
813:['814', '1491', '1536', '1467', '1554', '1500', '1642', '1653', '1293', '1398']
348:['1500', '814', '1449', '1536', '1398', '1554', '1293', '1599', '1642', '1467']
349:['814', '1536', '1467', '1599', '1463', '1500', '1642', '1398', '1449', '1651']
816:['1500', '814', '1368', '1449', '1398', '1293', '1599', '1642', '1653', '1467']
817:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1662', '1398', '1293']
595:['814', '1536', '1467', '1599', '1500', '1653', '1642', '1398', '1293', '1449']
719:['814', '1536', '1467', '1500', '1599', '1293', '1463', '1653', '1642', '1398']
718:['1306', '1500', '814', '1536', '1599', '1642', '1467', '1653', '1293', '851']
717:['1500', '814', '1536', '1599', '1642', '1653', '1467', '1293', '1398', '1449']
716:['1500', '814', '1449', '1536', '1398', '1293', '1599', '1642', '1653', '1467']
715:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1398', '1449', '1651']
714:['1500', '814', '1536', '1467', '1554', '1463', '1599', '1653', '1293', '1642']
713:['814', '1536', '1500', '1599', '1467', '1653', '1642', '1293', '1367', '1398']
712:['1500', '814', '1536', '1293', '1599', '1642', '1467', '1398', '1449', '1463']
711:['1500', '814', '1449', '1536', '1398', '1293', '1599', '1642', '1653', '1467']
710:['1500', '814', '1536', '1599', '1467', '1653', '1642', '1293', '1449', '1398']
915:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1449', '1293', '1398']
914:['814', '1500', '1536', '1467', '1599', '1642', '1293', '1398', '1449', '1651']
606:['1189', '1500', '814', '1449', '1536', '1398', '1293', '1651', '1599', '1642']
917:['1500', '814', '1536', '1467', '1599', '1642', '1653', '1293', '1449', '1398']
594:['814', '1536', '1467', '1500', '1599', '1293', '1653', '1642', '1306', '1449']
736:['814', '1536', '1500', '1467', '1599', '1642', '1653', '1449', '1398', '1293']
916:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1449', '1398', '1293']
911:['1500', '814', '1536', '1293', '1599', '1642', '1653', '1467', '1449', '1398']
619:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1449', '1293', '1398']
910:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1449', '1293', '1398']
913:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
298:['1189', '1500', '814', '1367', '1449', '1536', '1398', '1293', '851', '1651']
299:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
296:['408', '1306', '1189', '1500', '119', '814', '1367', '1449', '1536', '1398']
297:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1398', '1449', '1293']
294:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1398', '1293', '1449']
295:['169', '251', '1306', '1189', '1500', '1463', '119', '814', '1367', '1449']
292:['12', '251', '1189', '1500', '1463', '119', '814', '1175', '1367', '1449']
293:['814', '1536', '1467', '1599', '1500', '1653', '1642', '1449', '1398', '1293']
290:['814', '1536', '1463', '1467', '1500', '1599', '1653', '1293', '1642', '1398']
291:['1500', '1463', '814', '1536', '1599', '1642', '1467', '1653', '1398', '1449']
591:['1500', '814', '1536', '1293', '1599', '1467', '1642', '1653', '1449', '1398']
590:['1500', '814', '1536', '1467', '1599', '1642', '1293', '1653', '1398', '1449']
593:['1500', '814', '1536', '1599', '1467', '1653', '1642', '1449', '1398', '1293']
592:['1500', '814', '1536', '1398', '1293', '1599', '1642', '1653', '1467', '1449']
199:['814', '1536', '1500', '1467', '1599', '1554', '1642', '1653', '1449', '1398']
198:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1398', '1449']
597:['1500', '814', '1536', '1599', '1467', '1642', '1653', '1398', '1293', '1449']
596:['1500', '814', '1536', '1599', '1467', '1653', '1293', '1642', '1398', '1449']
195:['814', '1536', '1467', '1599', '1500', '1653', '1642', '1293', '1398', '1449']
194:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1449', '1398', '1463']
197:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
196:['1500', '814', '1536', '1599', '1467', '1642', '1653', '1293', '1398', '1449']
191:['1500', '814', '1536', '1599', '1467', '1653', '1642', '1449', '1398', '1293']
190:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
193:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1398', '1449']
192:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1306', '1398', '1293']
270:['483', '408', '169', '1492', '1169', '1306', '1189', '1062', '1498', '1500']
271:['814', '1536', '1599', '1467', '1500', '1653', '1642', '1398', '1449', '1293']
272:['302', '144', '603', '515', '480', '272', '408', '318', '64', '169']
273:['1500', '814', '1367', '1536', '1599', '1491', '1467', '1653', '1642', '1293']
274:['1306', '1189', '1500', '119', '814', '1367', '1449', '1536', '1398', '1293']
275:['814', '1536', '1467', '1500', '1599', '1463', '1293', '1653', '1642', '1398']
276:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1398', '1449']
277:['1500', '814', '1536', '1467', '1599', '1642', '1653', '1398', '1293', '1449']
278:['272', '408', '178', '318', '64', '169', '12', '187', '114', '1189']
279:['814', '1536', '1467', '1599', '1642', '1653', '1449', '1398', '1293', '1651']
738:['1500', '814', '1536', '1599', '1467', '1653', '1642', '1398', '1449', '1293']
524:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1449', '1398', '1293']
525:['814', '1536', '1500', '1467', '1599', '1642', '1653', '1398', '1449', '1293']
526:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1398', '1293', '1449']
527:['1500', '814', '1449', '1536', '1398', '1293', '1599', '1642', '1653', '1467']
520:['814', '1536', '1491', '1500', '1467', '1599', '1642', '1293', '1653', '1398']
521:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
522:['474', '98', '515', '174', '272', '172', '483', '408', '178', '127']
523:['272', '318', '12', '251', '963', '1492', '1169', '1189', '1062', '1498']
599:['1500', '1463', '814', '1536', '1398', '1554', '1293', '1599', '1642', '1467']
528:['1500', '814', '1536', '1599', '1653', '1467', '1642', '1449', '1398', '1189']
529:['1500', '814', '1536', '1599', '1467', '1642', '1653', '1449', '1293', '1398']
449:['1306', '1500', '814', '1536', '1599', '1642', '1653', '1467', '1293', '1449']
448:['814', '1536', '1467', '1500', '1599', '1642', '1653', '851', '1367', '1293']
443:['814', '1536', '1500', '1467', '1554', '1599', '1653', '1642', '1398', '1449']
442:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
441:['1500', '814', '1536', '1467', '1599', '1642', '1662', '1398', '1293', '1449']
440:['172', '169', '50', '1306', '1189', '1500', '119', '814', '1367', '1449']
447:['1500', '814', '1536', '1599', '1467', '1653', '1642', '1449', '1398', '1293']
446:['814', '1536', '1500', '1467', '1599', '1653', '1642', '1449', '1293', '1639']
445:['814', '1536', '1500', '1467', '1599', '1653', '1642', '1293', '1449', '1398']
444:['1500', '814', '1536', '1293', '1599', '1642', '1653', '1467', '1449', '1398']
108:['1500', '814', '1536', '1467', '1599', '1642', '1463', '1398', '1449', '1293']
109:['814', '1536', '1467', '1500', '1599', '1653', '1463', '1642', '1449', '1398']
102:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1293', '1398', '1449']
103:['1500', '814', '1536', '1599', '1467', '1293', '1642', '1662', '1463', '1398']
100:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
101:['814', '1536', '1467', '1500', '1599', '1463', '1642', '1398', '1449', '1651']
106:['1500', '814', '1536', '1599', '1642', '1653', '1467', '1293', '1449', '1398']
107:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1367', '1293', '1398']
104:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1293', '1449', '1398']
105:['814', '1536', '1500', '1467', '1599', '1653', '1642', '1293', '1398', '1367']
902:['814', '1536', '1467', '1500', '1599', '1642', '1653', '1293', '1398', '1449']
903:['1500', '814', '1449', '1536', '1398', '1293', '1599', '1642', '1653', '1467']
39:['1500', '814', '1536', '1599', '1642', '1653', '1467', '1293', '1398', '1189']
38:['1500', '814', '1536', '1599', '1642', '1653', '1467', '1662', '1398', '1293']
906:['1306', '1500', '814', '1536', '851', '1599', '1642', '1653', '1467', '1398']
907:['242', '603', '1137', '515', '480', '132', '174', '408', '178', '89']
904:['1500', '1463', '814', '1536', '1599', '1642', '1467', '1293', '1398', '1449']
905:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1449', '1293', '1398']
33:['1500', '814', '1599', '1653', '1467', '1642', '1368', '1662', '1293', '1449']
32:['814', '1536', '1500', '1467', '1599', '1653', '1642', '1449', '1398', '1189']
31:['1306', '1500', '814', '1449', '1536', '1398', '1293', '851', '1651', '1599']
30:['1500', '814', '1536', '1599', '1642', '1653', '1467', '1293', '1398', '1449']
37:['1500', '814', '1536', '1599', '1467', '1662', '1642', '1449', '1398', '1463']
36:['1500', '814', '1449', '1599', '1642', '1653', '1639', '1467', '1293', '1651']
35:['814', '1467', '1599', '1500', '1449', '1653', '1642', '1293', '1398', '1651']
34:['408', '320', '1306', '1189', '1500', '119', '814', '1449', '1536', '1398']
641:['408', '1306', '1189', '1500', '119', '814', '1367', '1449', '1536', '1398']
640:['483', '408', '1189', '1500', '119', '814', '1367', '1449', '1536', '1398']
643:['1500', '814', '1536', '1599', '1642', '1653', '1467', '1398', '1449', '1293']
642:['1500', '814', '1536', '1599', '1467', '1642', '1653', '1293', '1398', '1449']
645:['1189', '1500', '814', '1449', '1536', '1398', '1293', '1651', '1599', '1642']
644:['1306', '1189', '1500', '814', '1367', '1449', '1536', '1398', '1293', '1651']
438:['1189', '1500', '814', '1367', '1449', '1536', '1398', '1554', '1293', '1651']
439:['1500', '814', '1536', '1599', '1653', '1467', '1642', '1293', '1367', '1449']
436:['1500', '814', '1536', '1599', '1642', '1653', '1467', '1398', '1449', '1293']
437:['814', '1536', '1467', '1500', '1642', '1653', '1293', '1398', '1449', '1367']
434:['1500', '1463', '814', '1536', '1599', '1467', '1653', '1642', '1398', '1449']
435:['814', '1536', '1467', '1500', '1599', '1653', '1642', '1398', '1449', '1293']
432:['1500', '814', '1536', '1554', '1599', '1642', '1653', '1467', '1449', '1398']
