344:['1536', '1367', '1500', '1512', '1449', '1599', '1463', '1642', '320', '483']
345:['1367', '1536', '1449', '1642', '1467', '1500', '119', '1599', '1398', '1645']
346:['1463', '1449', '1398', '1131', '1607', '1643', '1536', '1500', '1122', '1599']
347:['1367', '1449', '1536', '1467', '119', '1463', '1512', '315', '1642', '115']
340:['272', '258', '318', '8', '923', '963', '114', '113', '313', '115']
341:['242', '474', '265', '86', '1', '95', '234', '246', '98', '193']
342:['1536', '1367', '1449', '1398', '1500', '480', '793', '1599', '1642', '272']
343:['1462', '1500', '119', '1367', '1449', '1536', '1512', '1642', '1628', '1467']
810:['474', '265', '86', '257', '274', '144', '1', '95', '246', '98']
811:['242', '302', '474', '144', '98', '194', '603', '515', '427', '165']
812:['96', '169', '626', '923', '113', '313', '745', '863', '656', '1463']
813:['960', '1449', '1398', '1585', '1643', '1664', '1636', '1368', '1651', '1062']
348:['246', '194', '603', '181', '427', '498', '496', '174', '96', '272']
349:['1536', '1467', '1367', '1599', '119', '1463', '1628', '1642', '1449', '318']
816:['474', '98', '603', '1137', '515', '427', '480', '23', '132', '96']
817:['1367', '1536', '1599', '718', '1500', '1639', '1398', '1524', '1158', '1643']
595:['884', '119', '1536', '1450', '1512', '1467', '1500', '357', '1367', '1388']
719:['909', '1628', '1462', '1642', '1449', '169', '1143', '1536', '1524', '1639']
718:['474', '408', '318', '484', '134', '169', '12', '187', '654', '511']
717:['408', '178', '315', '113', '1367', '1158', '1449', '1536', '1064', '1599']
716:['169', '1367', '1449', '1536', '1599', '1398', '408', '1524', '114', '1642']
715:['1449', '1639', '1500', '1398', '1536', '1643', '1122', '1642', '483', '1367']
714:['313', '1463', '1367', '1536', '1524', '1158', '923', '1189', '1154', '1398']
713:['1512', '1449', '119', '1536', '1642', '1500', '1368', '483', '884', '320']
712:['923', '316', '1019', '745', '867', '1268', '1495', '1367', '1449', '1536']
711:['1500', '1367', '1449', '1536', '1398', '1642', '1639', '1467', '1512', '474']
710:['1536', '1367', '1599', '1500', '408', '1449', '169', '1467', '1499', '923']
915:['1628', '1536', '1431', '1500', '1467', '1449', '169', '1599', '361', '251']
914:['793', '613', '1599', '718', '1473', '851', '1643', '947', '1536', '593']
606:['169', '1500', '1463', '1367', '1449', '1536', '1398', '1512', '1467', '1193']
917:['302', '253', '906', '867', '1169', '1131', '1449', '1536', '909', '1642']
594:['1449', '1019', '745', '1536', '169', '408', '654', '1636', '190', '867']
736:['884', '1104', '361', '1628', '537', '251', '653', '1629', '1467', '1499']
916:['1500', '1536', '1449', '1599', '1499', '1467', '1398', '1450', '127', '1367']
911:['1449', '1398', '1536', '1500', '1367', '1599', '408', '1122', '320', '694']
619:['1367', '1449', '1536', '1398', '718', '1599', '1431', '1524', '1643', '169']
910:['1536', '1512', '1463', '1449', '1467', '1500', '119', '318', '1367', '705']
913:['1536', '1639', '1449', '1500', '1467', '1367', '1512', '1158', '1398', '119']
298:['408', '320', '1500', '1367', '1536', '1599', '1398', '1449', '1467', '1122']
299:['1449', '1536', '1398', '1500', '1367', '1467', '1499', '1599', '1645', '1636']
296:['302', '408', '178', '318', '513', '1203', '645', '1500', '119', '1367']
297:['1536', '1367', '408', '1158', '1064', '1449', '1463', '1500', '1467', '1122']
294:['318', '1500', '119', '1367', '1449', '1536', '1398', '1642', '1512', '1463']
295:['302', '474', '603', '515', '165', '480', '479', '272', '408', '178']
292:['474', '318', '923', '114', '192', '1062', '1500', '1367', '1158', '1449']
293:['1449', '1536', '1642', '1500', '851', '1639', '1643', '1636', '661', '361']
290:['1463', '1536', '1449', '867', '1367', '1398', '1643', '169', '1122', '1599']
291:['474', '603', '135', '127', '318', '256', '169', '611', '661', '589']
591:['1449', '1536', '1500', '1367', '1467', '119', '1398', '251', '1599', '1122']
590:['1500', '1599', '320', '1536', '1449', '1467', '1398', '1558', '1104', '1450']
593:['1463', '1367', '1158', '1536', '1154', '113', '1599', '1500', '408', '1467']
592:['661', '513', '114', '641', '361', '1500', '1367', '1449', '1524', '1536']
199:['1645', '1449', '1536', '60', '1122', '856', '1194', '1636', '896', '253']
198:['1512', '1536', '408', '1367', '1449', '1158', '57', '1467', '1463', '1500']
597:['835', '113', '313', '1500', '1463', '1367', '1158', '1536', '817', '1154']
596:['1500', '1463', '1367', '1158', '1536', '1154', '1467', '408', '1203', '923']
195:['114', '1367', '1536', '1158', '1524', '1463', '408', '963', '113', '272']
194:['1536', '1449', '1398', '1367', '1643', '1599', '1500', '1642', '513', '320']
197:['1536', '1463', '1367', '1449', '1398', '1500', '1431', '1122', '1467', '408']
196:['1500', '1449', '1536', '1639', '1367', '1405', '320', '1122', '480', '313']
191:['1367', '1536', '1463', '1642', '1467', '1643', '1449', '318', '923', '119']
190:['1367', '1536', '1449', '1466', '1158', '1463', '1599', '626', '1499', '753']
193:['1449', '1500', '1536', '1122', '1398', '1467', '1512', '1599', '320', '119']
192:['1628', '1536', '1642', '1500', '1643', '1467', '1512', '1449', '718', '119']
270:['302', '474', '246', '193', '194', '100', '515', '427', '512', '498']
271:['1367', '1398', '1536', '1449', '1599', '1643', '1500', '408', '1467', '1645']
272:['515', '408', '189', '64', '169', '173', '57', '190', '923', '251']
