344:['1449', '1643', '1467', '1642', '1639', '1524', '850', '1500', '1367', '1645']
345:['1500', '1467', '1449', '408', '1642', '641', '1463', '134', '1524', '483']
346:['1500', '1467', '199', '1449', '1463', '867', '1450', '119', '613', '483']
347:['1463', '119', '1449', '1398', '1467', '1458', '1500', '1599', '113', '1536']
340:['1086', '1160', '113', '718', '936', '1500', '1463', '814', '1398', '1269']
341:['302', '265', '1', '95', '246', '88', '194', '165', '275', '496']
342:['1512', '1500', '1463', '1639', '1458', '1064', '1443', '1405', '921', '1367']
343:['1500', '1449', '1642', '1467', '1589', '1636', '641', '1122', '603', '1450']
810:['302', '474', '86', '222', '486', '144', '1', '95', '246', '98']
811:['474', '86', '144', '98', '193', '194', '603', '181', '196', '515']
812:['174', '483', '1086', '868', '1160', '499', '115', '867', '1500', '814']
813:['1167', '718', '1467', '1302', '1524', '1189', '119', '1449', '1131', '174']
348:['242', '474', '98', '194', '603', '515', '427', '165', '480', '498']
349:['1463', '1368', '1449', '1536', '408', '1268', '1524', '1129', '1466', '1500']
816:['474', '98', '194', '603', '512', '165', '498', '195', '1211', '272']
817:['1500', '1463', '1639', '1449', '1398', '1536', '1599', '1064', '814', '113']
595:['1500', '1467', '1449', '119', '1642', '320', '1122', '483', '853', '837']
719:['1104', '1192', '1449', '626', '1398', '1463', '1099', '526', '1143', '1129']
718:['474', '98', '603', '1137', '427', '648', '137', '1240', '61', '408']
717:['174', '64', '850', '1500', '119', '1449', '1524', '1536', '1398', '1450']
716:['1449', '1467', '1500', '1398', '1450', '1642', '169', '119', '1643', '963']
715:['1463', '1500', '1536', '1639', '1449', '1064', '1467', '483', '1398', '1367']
714:['474', '483', '1462', '114', '868', '615', '958', '1463', '390', '1367']
713:['1449', '1536', '1639', '1398', '119', '1642', '1500', '1194', '474', '114']
712:['408', '169', '114', '1169', '1131', '936', '1463', '1449', '1398', '1597']
711:['1367', '1449', '1642', '1639', '1467', '1500', '1169', '1524', '1122', '1536']
710:['1398', '1449', '1500', '867', '1463', '1169', '1536', '408', '169', '851']
915:['1628', '923', '1524', '1463', '1558', '1639', '1536', '1158', '1085', '1431']
914:['1099', '593', '641', '793', '867', '1512', '1558', '851', '1155', '921']
606:['515', '408', '318', '113', '1500', '1463', '1449', '1536', '1398', '1599']
917:['1463', '963', '1176', '750', '357', '408', '1467', '1443', '1466', '856']
594:['1449', '1639', '1467', '899', '119', '1642', '1450', '1463', '963', '1599']
736:['119', '1368', '320', '853', '1449', '694', '536', '899', '1367', '1467']
916:['1449', '1642', '1500', '1467', '1524', '1189', '320', '119', '191', '1643']
911:['1449', '1642', '1524', '1536', '1367', '169', '408', '1450', '1467', '114']
619:['1500', '1449', '1169', '1398', '1512', '1131', '1122', '119', '1642', '1367']
910:['1463', '1143', '408', '1466', '1169', '1398', '1597', '1070', '963', '1467']
913:['1467', '1449', '1450', '1642', '1536', '1639', '515', '1524', '1500', '480']
298:['1500', '1463', '1367', '1449', '1536', '1639', '1467', '113', '64', '1064']
299:['1500', '1449', '1642', '1639', '1189', '923', '119', '1524', '1467', '1463']
296:['174', '318', '64', '169', '12', '190', '868', '657', '915', '867']
297:['1467', '1463', '1449', '963', '1642', '1524', '884', '1639', '694', '119']
294:['320', '1500', '1449', '1599', '1467', '1367', '1639', '119', '1458', '1642']
295:['242', '302', '603', '515', '165', '479', '272', '408', '178', '64']
292:['1500', '1463', '1367', '1449', '1524', '1536', '1064', '1642', '1639', '1467']
293:['1449', '641', '1536', '408', '1467', '320', '178', '1452', '1642', '1651']
290:['1450', '1639', '1449', '1599', '1467', '1463', '1398', '119', '1064', '963']
291:['603', '479', '483', '178', '127', '171', '357', '134', '197', '199']
591:['1449', '1450', '1642', '884', '119', '199', '190', '1500', '185', '657']
590:['853', '854', '1405', '1368', '745', '884', '1367', '513', '1629', '1467']
593:['1449', '1599', '868', '1169', '867', '1398', '119', '1450', '1467', '1463']
592:['513', '488', '641', '745', '694', '1463', '119', '1368', '1466', '1367']
199:['899', '884', '913', '817', '1467', '853', '1449', '119', '1056', '320']
198:['1449', '1463', '1500', '1467', '1536', '483', '1639', '1642', '1636', '1189']
597:['64', '199', '1500', '119', '1449', '1450', '1642', '1467', '1463', '1085']
596:['408', '169', '1463', '1449', '1536', '1398', '114', '1599', '1452', '1639']
195:['1242', '318', '1398', '511', '1122', '1449', '357', '1064', '1293', '513']
194:['1463', '1467', '1449', '1500', '1639', '694', '1536', '1642', '1524', '1142']
197:['1398', '1500', '1449', '318', '1463', '1536', '814', '169', '483', '1293']
196:['1122', '483', '1449', '1500', '1642', '1664', '1450', '867', '169', '1536']
191:['1449', '867', '1169', '1398', '119', '1450', '1500', '1599', '1137', '12']
190:['1463', '1500', '1458', '1398', '1639', '1169', '1064', '1599', '1449', '474']
193:['1450', '867', '1449', '1500', '1642', '603', '1137', '119', '134', '1398']
192:['1368', '1463', '1466', '511', '1449', '192', '1500', '1467', '1458', '1398']
270:['302', '474', '100', '515', '427', '512', '165', '480', '498', '23']
271:['1500', '1449', '1463', '1467', '483', '1536', '408', '1398', '1143', '641']
272:['318', '867', '1463', '1158', '1449', '1536', '1398', '1599', '1639', '480']
273:['1664', '1122', '1233', '1450', '169', '701', '474', '50', '1449', '867']
274:['474', '603', '427', '165', '480', '498', '483', '178', '64', '357']
275:['1449', '1467', '1500', '1398', '1463', '318', '119', '511', '1642', '1599']
276:['1449', '1467', '1642', '320', '1450', '641', '483', '1599', '1500', '199']
277:['1463', '1449', '1500', '1512', '119', '1639', '1367', '1642', '1536', '1467']
278:['483', '64', '657', '267', '320', '1189', '913', '694', '1463', '119']
279:['1463', '1367', '1536', '1524', '851', '1631', '483', '1449', '1642', '1450']
738:['1639', '1500', '1122', '1463', '1536', '1064', '1449', '1450', '1467', '1398']
524:['408', '1169', '867', '1463', '1536', '169', '963', '641', '1512', '1656']
525:['1449', '1463', '119', '1599', '1467', '1643', '1398', '1500', '1639', '318']
526:['1467', '1463', '1452', '1449', '134', '1458', '320', '1398', '1599', '603']
527:['1500', '1449', '718', '1169', '1122', '408', '1642', '1536', '1524', '512']
520:['1175', '1449', '1450', '1589', '1642', '1062', '119', '753', '899', '868']
521:['1639', '1449', '1642', '1450', '1467', '1367', '114', '1524', '1536', '1398']
522:['1137', '408', '169', '182', '963', '114', '113', '1007', '1131', '850']
523:['603', '427', '165', '480', '275', '498', '496', '272', '172', '483']
599:['265', '86', '98', '194', '196', '423', '515', '427', '480', '275']
528:['1500', '119', '1368', '1367', '1449', '1642', '1639', '1524', '1536', '923']
529:['318', '114', '113', '1500', '1463', '119', '1367', '1158', '1449', '1536']
449:['408', '1143', '1524', '1589', '169', '1167', '302', '1466', '1536', '513']
448:['1104', '1313', '1664', '1642', '425', '1449', '1233', '1585', '50', '648']
443:['165', '483', '199', '1099', '593', '868', '641', '848', '718', '494']
442:['1463', '1467', '1639', '1536', '483', '1500', '480', '1142', '1643', '408']
441:['1463', '1410', '1500', '1122', '1064', '1639', '1597', '1169', '483', '169']
