344:['242', '193', '219', '1153', '832', '368', '794', '323', '231', '1240']
345:['546', '194', '603', '338', '209', '307', '368', '794', '1217', '228']
346:['257', '222', '1042', '1', '384', '480', '750', '368', '504', '268']
347:['51', '29', '88', '979', '196', '20', '1049', '382', '21', '815']
340:['465', '796', '384', '403', '208', '685', '496', '195', '756', '466']
341:['51', '257', '1', '95', '234', '98', '304', '54', '366', '1016']
342:['222', '392', '16', '232', '1444', '96', '385', '471', '1134', '2']
343:['486', '1081', '332', '432', '322', '181', '15', '165', '480', '685']
810:['346', '86', '1014', '785', '387', '95', '277', '322', '143', '515']
811:['377', '118', '332', '219', '526', '625', '209', '789', '658', '1134']
812:['86', '1014', '1', '241', '919', '338', '132', '815', '756', '504']
813:['222', '546', '1081', '603', '1137', '26', '15', '237', '403', '275']
348:['302', '277', '5', '832', '14', '955', '559', '164', '202', '235']
349:['377', '474', '265', '257', '95', '277', '194', '919', '165', '836']
816:['465', '29', '246', '201', '196', '679', '1049', '366', '518', '1016']
817:['265', '1137', '384', '416', '229', '685', '496', '132', '174', '307']
595:['474', '1014', '1', '1081', '679', '515', '427', '54', '625', '789']
719:['242', '257', '277', '32', '16', '174', '514', '789', '317', '836']
718:['486', '603', '16', '143', '219', '498', '96', '195', '140', '258']
717:['377', '474', '265', '277', '181', '20', '690', '5', '366', '648']
716:['1014', '165', '625', '789', '756', '1240', '61', '109', '7', '813']
715:['679', '416', '366', '403', '307', '832', '14', '466', '719', '1267']
714:['51', '95', '796', '143', '232', '1049', '416', '403', '209', '264']
713:['95', '32', '384', '526', '919', '165', '1153', '496', '140', '479']
712:['474', '265', '86', '1', '219', '919', '54', '403', '382', '132']
711:['465', '29', '201', '15', '690', '518', '379', '1211', '466', '1035']
710:['196', '237', '54', '514', '272', '794', '177', '1336', '360', '77']
915:['387', '274', '486', '88', '196', '690', '54', '275', '1153', '209']
914:['377', '257', '181', '515', '26', '232', '416', '165', '685', '496']
606:['246', '564', '327', '4', '416', '54', '1153', '815', '836', '164']
917:['222', '274', '486', '277', '322', '20', '26', '232', '111', '625']
594:['451', '785', '486', '1', '277', '193', '526', '26', '480', '1016']
736:['465', '546', '768', '193', '432', '919', '15', '5', '237', '366']
916:['302', '603', '979', '690', '471', '1336', '673', '1267', '452', '255']
911:['346', '265', '274', '1184', '95', '234', '219', '690', '229', '1153']
619:['377', '1014', '40', '423', '219', '919', '427', '165', '366', '209']
910:['377', '274', '95', '322', '512', '248', '1444', '1016', '368', '231']
913:['257', '40', '1184', '194', '1049', '54', '832', '514', '815', '405']
298:['451', '234', '246', '512', '1049', '165', '21', '815', '368', '1134']
299:['1014', '196', '416', '5', '132', '658', '836', '756', '405', '1240']
296:['377', '346', '387', '679', '143', '288', '229', '338', '25', '382']
297:['387', '1137', '1049', '54', '382', '14', '1267', '842', '141', '507']
294:['451', '564', '20', '26', '5', '54', '25', '154', '496', '789']
295:['274', '304', '26', '54', '338', '23', '750', '1147', '955', '117']
292:['1184', '564', '241', '15', '366', '338', '21', '443', '360', '77']
293:['40', '392', '486', '219', '307', '1211', '794', '323', '106', '141']
290:['1014', '29', '785', '16', '304', '26', '1049', '690', '1016', '154']
291:['302', '265', '465', '222', '796', '304', '322', '26', '512', '165']
591:['118', '143', '690', '403', '154', '96', '21', '789', '195', '245']
590:['242', '246', '796', '1137', '288', '96', '789', '1147', '756', '955']
593:['86', '384', '526', '382', '209', '294', '21', '514', '789', '379']
592:['377', '465', '451', '679', '5', '229', '498', '648', '485', '1211']
199:['86', '144', '201', '679', '20', '165', '1444', '338', '307', '832']
198:['242', '302', '785', '416', '685', '307', '836', '756', '177', '452']
597:['785', '486', '95', '246', '480', '403', '209', '174', '750', '1147']
596:['265', '1014', '387', '392', '277', '98', '88', '564', '1137', '432']
195:['302', '346', '144', '95', '32', '241', '232', '512', '685', '379']
194:['277', '248', '273', '231', '2', '1217', '65', '872', '468', '767']
197:['242', '257', '222', '143', '416', '165', '248', '1444', '756', '955']
196:['1014', '40', '1184', '144', '246', '603', '327', '1137', '332', '181']
191:['40', '1', '88', '194', '16', '679', '526', '919', '15', '1444']
190:['51', '451', '387', '274', '144', '277', '234', '194', '304', '332']
193:['51', '1042', '486', '416', '480', '379', '48', '360', '1091', '767']
192:['474', '193', '327', '4', '432', '679', '143', '1049', '1444', '237']
270:['302', '451', '486', '32', '919', '165', '1444', '832', '317', '264']
271:['222', '1137', '20', '919', '403', '382', '685', '151', '264', '281']
272:['265', '785', '392', '603', '304', '679', '20', '366', '307', '21']
273:['29', '118', '546', '603', '564', '15', '229', '832', '195', '135']
274:['474', '1014', '1081', '248', '1444', '514', '479', '368', '1134', '272']
275:['242', '40', '785', '387', '392', '234', '100', '288', '1444', '111']
276:['465', '785', '20', '275', '832', '140', '360', '829', '321', '1197']
277:['1184', '392', '246', '16', '4', '384', '919', '1049', '1016', '382']
278:['387', '193', '232', '111', '154', '23', '174', '658', '268', '231']
279:['1014', '1042', '526', '26', '496', '200', '471', '483', '220', '790']
738:['486', '564', '143', '515', '690', '789', '379', '272', '794', '1035']
524:['274', '15', '248', '229', '338', '1336', '298', '1035', '360', '214']
525:['86', '40', '29', '546', '796', '564', '416', '1444', '5', '480']
526:['451', '222', '246', '88', '515', '26', '165', '1444', '96', '135']
527:['274', '1042', '88', '304', '564', '322', '229', '237', '111', '328']
520:['377', '768', '277', '193', '796', '515', '288', '26', '480', '132']
521:['86', '193', '796', '322', '512', '307', '379', '815', '504', '466']
522:['474', '265', '222', '387', '193', '20', '690', '25', '154', '1153']
523:['29', '234', '498', '379', '756', '955', '231', '10', '401', '344']
599:['302', '86', '40', '392', '515', '219', '15', '154', '209', '317']
528:['302', '265', '257', '387', '95', '32', '979', '679', '384', '20']
529:['242', '274', '392', '118', '546', '95', '219', '248', '1444', '25']
449:['29', '919', '690', '54', '338', '154', '208', '787', '559', '794']
448:['234', '193', '88', '25', '275', '195', '200', '245', '658', '14']
443:['387', '241', '512', '832', '200', '385', '658', '955', '504', '466']
442:['265', '465', '86', '40', '277', '564', '384', '1444', '625', '25']
441:['29', '387', '32', '16', '275', '496', '245', '140', '504', '1336']
440:['474', '1014', '486', '518', '403', '648', '756', '177', '228', '214']
447:['377', '29', '387', '327', '625', '154', '685', '385', '1336', '61']
446:['265', '387', '1042', '201', '181', '679', '427', '366', '379', '479']
445:['377', '277', '232', '1153', '496', '750', '264', '1147', '755', '1217']
444:['86', '785', '392', '118', '246', '88', '432', '15', '382', '209']
108:['242', '474', '451', '95', '88', '194', '427', '416', '229', '54']
109:['474', '387', '603', '515', '219', '512', '366', '1134', '2', '455']
102:['346', '257', '1137', '1016', '1153', '514', '815', '14', '455', '220']
103:['1014', '1', '1137', '100', '288', '26', '209', '23', '379', '815']
100:['242', '265', '1042', '392', '603', '32', '241', '322', '20', '427']
101:['302', '346', '785', '98', '26', '1049', '209', '648', '1147', '140']
106:['265', '465', '229', '1147', '471', '658', '140', '368', '836', '955']
107:['194', '201', '100', '196', '26', '165', '338', '1153', '485', '658']
104:['387', '304', '979', '201', '515', '427', '154', '496', '832', '514']
105:['51', '346', '474', '322', '518', '514', '756', '405', '298', '443']
902:['465', '451', '86', '274', '234', '496', '174', '648', '832', '815']
903:['51', '40', '193', '1081', '32', '143', '15', '54', '518', '1153']
39:['40', '392', '603', '304', '518', '154', '23', '471', '1134', '419']
38:['377', '246', '194', '219', '232', '648', '1211', '268', '323', '842']
906:['257', '196', '219', '512', '690', '154', '209', '385', '379', '787']
907:['242', '265', '95', '246', '919', '54', '498', '514', '1211', '1134']
904:['86', '979', '196', '526', '15', '1444', '245', '140', '559', '719']
905:['265', '274', '392', '194', '432', '515', '15', '111', '135', '1134']
33:['392', '118', '234', '416', '648', '21', '789', '419', '504', '273']
32:['242', '377', '785', '201', '165', '229', '237', '480', '518', '338']
31:['29', '193', '979', '201', '181', '219', '15', '165', '111', '789']
30:['474', '785', '234', '16', '322', '196', '25', '1153', '498', '382']
37:['465', '1042', '796', '4', '384', '20', '1016', '154', '132', '151']
