344:['515', '179', '474', '1449', '178', '318', '480', '483', '114', '168']
345:['127', '474', '357', '511', '483', '496', '114', '408', '178', '963']
346:['313', '199', '87', '185', '82', '28', '480', '526', '429', '513']
347:['313', '42', '64', '272', '408', '219', '316', '310', '205', '480']
340:['318', '64', '692', '282', '22', '258', '216', '735', '272', '313']
341:['480', '483', '408', '178', '127', '64', '134', '169', '285', '488']
342:['187', '127', '180', '603', '474', '185', '528', '268', '178', '515']
343:['480', '285', '1449', '178', '59', '493', '603', '511', '661', '114']
810:['474', '265', '98', '603', '1137', '181', '196', '515', '427', '165']
811:['98', '603', '181', '515', '165', '480', '496', '174', '96', '195']
812:['174', '64', '313', '22', '50', '318', '181', '210', '173', '172']
813:['169', '50', '408', '316', '318', '174', '181', '172', '272', '173']
348:['318', '64', '22', '96', '174', '272', '496', '79', '143', '316']
349:['408', '169', '134', '127', '190', '12', '64', '302', '483', '515']
816:['408', '318', '64', '174', '169', '12', '114', '272', '1449', '172']
817:['64', '12', '318', '22', '169', '408', '515', '272', '657', '114']
595:['357', '408', '515', '318', '169', '511', '1449', '12', '480', '134']
719:['496', '191', '272', '651', '22', '204', '196', '302', '603', '190']
718:['318', '64', '22', '173', '12', '174', '313', '190', '69', '83']
717:['59', '483', '408', '513', '251', '488', '1449', '474', '178', '316']
716:['8', '251', '378', '1449', '258', '100', '316', '963', '313', '657']
715:['187', '357', '127', '114', '511', '427', '750', '408', '169', '603']
714:['174', '313', '22', '64', '210', '265', '79', '316', '82', '172']
713:['408', '318', '169', '64', '603', '114', '1449', '9', '98', '178']
712:['720', '300', '332', '148', '155', '742', '282', '318', '15', '774']
711:['100', '514', '14', '709', '654', '9', '124', '479', '59', '242']
710:['408', '114', '474', '1449', '178', '169', '480', '285', '515', '513']
915:['318', '408', '483', '190', '64', '114', '1449', '12', '169', '251']
914:['64', '408', '318', '1449', '480', '178', '12', '515', '474', '251']
606:['318', '190', '320', '205', '357', '272', '589', '520', '1131', '659']
917:['408', '923', '242', '286', '302', '170', '514', '318', '134', '1524']
594:['408', '169', '318', '64', '316', '1449', '12', '178', '114', '513']
736:['56', '408', '318', '474', '114', '190', '603', '357', '89', '12']
916:['169', '127', '357', '114', '408', '1449', '603', '302', '654', '657']
911:['318', '169', '64', '1449', '114', '12', '515', '320', '657', '178']
619:['520', '265', '204', '83', '64', '732', '98', '216', '95', '272']
910:['64', '603', '318', '408', '89', '169', '480', '474', '187', '114']
913:['187', '511', '23', '651', '520', '197', '199', '135', '196', '178']
298:['313', '64', '169', '316', '480', '1449', '408', '251', '272', '513']
299:['9', '180', '223', '199', '178', '64', '187', '654', '963', '694']
296:['318', '511', '603', '169', '185', '178', '197', '408', '64', '651']
297:['483', '318', '511', '408', '64', '190', '320', '611', '178', '657']
294:['318', '56', '64', '357', '12', '174', '22', '114', '480', '144']
295:['408', '169', '923', '921', '1449', '1194', '178', '57', '251', '59']
292:['318', '12', '114', '89', '357', '474', '1449', '251', '191', '513']
293:['511', '169', '661', '178', '1449', '114', '515', '611', '1142', '197']
290:['313', '173', '316', '169', '300', '79', '966', '272', '258', '270']
291:['302', '480', '272', '268', '408', '127', '318', '357', '169', '187']
591:['318', '515', '1449', '170', '480', '474', '178', '408', '251', '427']
590:['408', '483', '511', '59', '474', '251', '647', '1449', '170', '484']
593:['64', '22', '12', '520', '265', '515', '651', '186', '427', '603']
592:['515', '156', '190', '511', '114', '205', '1449', '611', '661', '1007']
199:['127', '474', '56', '511', '654', '180', '357', '124', '1449', '114']
198:['178', '169', '1449', '483', '251', '603', '12', '114', '657', '513']
597:['64', '318', '496', '12', '513', '483', '87', '408', '22', '603']
596:['64', '318', '22', '496', '69', '174', '79', '272', '98', '96']
195:['64', '50', '318', '272', '12', '173', '172', '357', '22', '114']
194:['480', '114', '603', '169', '251', '1449', '963', '408', '611', '513']
197:['496', '423', '194', '97', '732', '204', '136', '121', '378', '144']
196:['318', '64', '408', '427', '357', '483', '480', '178', '515', '170']
191:['127', '474', '318', '603', '480', '1449', '178', '169', '408', '483']
190:['64', '174', '22', '50', '12', '318', '316', '515', '169', '480']
193:['408', '169', '316', '427', '484', '483', '513', '480', '50', '923']
192:['318', '408', '178', '511', '483', '251', '169', '357', '98', '1449']
270:['474', '515', '427', '512', '480', '498', '132', '14', '137', '483']
271:['483', '251', '1449', '513', '316', '165', '408', '484', '114', '655']
272:['318', '169', '64', '408', '603', '511', '1449', '114', '173', '480']
273:['318', '408', '483', '98', '64', '169', '1449', '603', '56', '251']
274:['515', '174', '272', '483', '408', '64', '357', '169', '12', '511']
275:['64', '318', '316', '480', '313', '483', '189', '272', '603', '921']
276:['114', '191', '511', '190', '178', '480', '963', '1449', '661', '641']
277:['318', '64', '408', '357', '178', '190', '272', '1449', '12', '603']
278:['318', '12', '64', '408', '114', '89', '272', '357', '480', '169']
279:['268', '258', '508', '91', '246', '282', '939', '9', '253', '589']
738:['114', '483', '12', '480', '1449', '166', '520', '187', '272', '515']
524:['10', '1169', '462', '8', '408', '1367', '9', '1131', '923', '487']
525:['318', '169', '191', '12', '190', '64', '114', '357', '483', '272']
526:['357', '178', '134', '483', '318', '427', '515', '511', '493', '114']
527:['178', '483', '313', '1449', '223', '114', '302', '408', '654', '199']
520:['483', '318', '603', '515', '427', '657', '408', '513', '272', '479']
521:['408', '64', '169', '114', '272', '313', '198', '98', '511', '316']
522:['408', '169', '515', '114', '483', '50', '603', '513', '178', '1449']
523:['143', '485', '483', '318', '64', '316', '313', '272', '498', '423']
599:['318', '22', '313', '64', '96', '28', '174', '272', '79', '300']
528:['169', '272', '313', '64', '172', '98', '12', '408', '114', '96']
529:['64', '313', '22', '174', '272', '96', '318', '79', '12', '144']
449:['408', '474', '169', '647', '134', '242', '114', '603', '302', '124']
448:['603', '657', '474', '654', '513', '169', '661', '178', '488', '479']
443:['64', '318', '272', '22', '357', '174', '603', '408', '114', '28']
442:['408', '169', '127', '50', '480', '114', '199', '1449', '474', '187']
441:['318', '169', '483', '64', '408', '50', '657', '174', '114', '1449']
440:['483', '408', '169', '114', '1449', '603', '513', '134', '479', '285']
447:['173', '172', '169', '313', '641', '127', '114', '408', '511', '64']
446:['64', '318', '12', '169', '603', '408', '251', '114', '483', '427']
445:['318', '357', '187', '178', '515', '191', '180', '89', '114', '474']
444:['174', '64', '483', '127', '169', '1449', '178', '318', '603', '173']
108:['318', '483', '1449', '408', '427', '513', '169', '603', '132', '357']
109:['313', '83', '66', '300', '272', '169', '333', '328', '1019', '2']
102:['64', '251', '169', '318', '190', '483', '199', '114', '641', '408']
103:['318', '64', '173', '12', '169', '114', '480', '357', '408', '603']
100:['50', '22', '64', '174', '318', '98', '69', '515', '172', '408']
101:['313', '64', '174', '318', '173', '22', '172', '12', '169', '79']
106:['603', '408', '427', '480', '178', '98', '483', '1449', '357', '251']
107:['100', '654', '9', '1449', '169', '483', '603', '479', '408', '178']
104:['174', '169', '172', '1449', '511', '12', '408', '194', '1142', '168']
105:['64', '50', '318', '408', '169', '357', '12', '174', '483', '98']
902:['174', '496', '427', '513', '22', '64', '603', '178', '484', '657']
903:['480', '474', '1449', '603', '169', '285', '114', '197', '657', '408']
39:['318', '64', '603', '408', '251', '480', '427', '474', '178', '316']
38:['143', '739', '300', '476', '304', '241', '64', '709', '204', '66']
906:['318', '64', '127', '357', '12', '178', '603', '483', '1449', '114']
907:['392', '603', '241', '196', '515', '165', '480', '419', '408', '344']
904:['318', '485', '143', '190', '133', '923', '606', '483', '1062', '528']
905:['50', '64', '408', '169', '174', '127', '114', '12', '318', '603']
33:['318', '22', '64', '272', '12', '169', '174', '408', '190', '316']
32:['127', '318', '64', '357', '169', '272', '12', '480', '1449', '178']
31:['474', '408', '488', '603', '60', '483', '178', '59', '513', '134']
30:['318', '190', '64', '12', '127', '408', '114', '603', '191', '483']
37:['318', '169', '408', '114', '357', '480', '1449', '64', '178', '603']
36:['408', '515', '64', '169', '189', '89', '921', '318', '12', '114']
35:['313', '318', '64', '69', '22', '316', '408', '28', '483', '427']
34:['474', '603', '480', '479', '483', '408', '178', '318', '89', '64']
641:['408', '169', '923', '114', '603', '1449', '474', '189', '488', '178']
640:['603', '272', '172', '483', '408', '127', '50', '187', '511', '114']
643:['1449', '641', '190', '513', '661', '175', '285', '48', '178', '134']
