344:['1500', '1463', '814', '1536', '1599', '1467', '1643', '1449', '1642', '1398']
345:['1500', '1463', '814', '1449', '1536', '1599', '1653', '1643', '1467', '1642']
346:['1463', '1536', '814', '1449', '1367', '1599', '1643', '1467', '1500', '868']
347:['1500', '1463', '814', '1449', '1536', '1599', '1653', '1467', '1293', '1643']
340:['1492', '1498', '1500', '1463', '814', '1368', '1367', '1158', '1449', '1524']
341:['302', '474', '265', '144', '1', '234', '98', '193', '194', '603']
342:['1463', '1536', '1293', '814', '1500', '1643', '1467', '1653', '1449', '1599']
343:['1500', '1463', '814', '1368', '1367', '1449', '1536', '1293', '1651', '1599']
810:['242', '302', '474', '265', '144', '1', '95', '234', '246', '98']
811:['302', '474', '265', '246', '98', '194', '603', '100', '181', '423']
812:['1070', '513', '868', '170', '1492', '811', '656', '1498', '1500', '814']
813:['814', '851', '1449', '868', '1536', '1130', '1593', '963', '512', '867']
348:['302', '474', '98', '603', '515', '427', '512', '480', '498', '174']
349:['1500', '1463', '1235', '1467', '814', '1599', '851', '868', '1293', '1617']
816:['302', '474', '98', '603', '515', '427', '512', '480', '23', '174']
817:['868', '1463', '814', '1449', '1536', '1293', '851', '1593', '1599', '1653']
595:['1500', '1463', '1536', '1653', '814', '1449', '1293', '851', '1201', '1467']
719:['1536', '1500', '1293', '1463', '1467', '1643', '1599', '814', '1449', '1625']
718:['603', '512', '483', '64', '169', '923', '513', '963', '114', '868']
717:['868', '1500', '1463', '814', '1449', '1536', '1064', '851', '1599', '1653']
716:['1500', '1463', '814', '1368', '1367', '1449', '1536', '1293', '1599', '1656']
715:['1463', '1536', '1653', '1599', '814', '1500', '1235', '1449', '1367', '1467']
714:['1463', '814', '1449', '1536', '1398', '1293', '851', '1599', '1653', '1467']
713:['1599', '1467', '814', '868', '1536', '1449', '851', '1500', '1616', '1130']
712:['408', '114', '868', '1500', '1463', '814', '1368', '1143', '1367', '1449']
711:['1500', '1463', '814', '1368', '1367', '1449', '1536', '1599', '1642', '1643']
710:['1500', '1536', '1463', '1367', '814', '1293', '1653', '1599', '1449', '1642']
915:['1500', '1599', '814', '1536', '1593', '851', '1458', '1452', '1467', '868']
914:['1500', '1536', '1614', '1367', '1463', '1643', '1492', '1498', '1491', '1467']
606:['114', '868', '1500', '1463', '814', '1368', '1367', '1449', '1536', '1398']
917:['868', '1500', '1463', '814', '1536', '1293', '851', '1653', '1625', '1449']
594:['1500', '1536', '1293', '1625', '1656', '1463', '1492', '1498', '814', '1235']
736:['1536', '1599', '1500', '1293', '814', '851', '1449', '1368', '1625', '1524']
916:['1463', '1536', '1293', '1643', '1599', '1500', '814', '1449', '1467', '1368']
911:['1500', '1463', '814', '1367', '1536', '1431', '1643', '1642', '1368', '1467']
619:['868', '1500', '1463', '814', '1449', '1536', '1599', '1653', '1467', '1367']
910:['1536', '1500', '1463', '1467', '814', '1599', '1449', '1293', '1398', '851']
913:['1463', '1536', '1643', '1500', '814', '1599', '1293', '1367', '1642', '1449']
298:['1500', '1463', '814', '1367', '1449', '1536', '1293', '1599', '1642', '1643']
299:['1536', '1463', '1643', '1500', '1467', '814', '1293', '1599', '1368', '1449']
296:['1500', '1463', '814', '1368', '1367', '1449', '1536', '1398', '1293', '851']
297:['1463', '814', '1536', '1653', '1500', '1467', '1599', '1449', '1293', '1367']
294:['868', '1500', '814', '1449', '1536', '851', '1467', '1653', '1599', '114']
295:['474', '603', '480', '479', '408', '127', '64', '169', '12', '251']
292:['1500', '1463', '814', '1368', '1367', '1449', '1536', '1398', '1293', '1651']
293:['1536', '1463', '1500', '1467', '1643', '1449', '1599', '814', '1367', '1368']
290:['1463', '1536', '1293', '1467', '1500', '1367', '1080', '1599', '1449', '814']
291:['114', '868', '1500', '1463', '814', '1449', '1536', '1293', '1599', '1642']
591:['1500', '1463', '1536', '1653', '1643', '1467', '814', '1599', '1491', '1642']
590:['1500', '1463', '1653', '1536', '814', '1467', '1492', '1498', '1599', '1491']
593:['1500', '1463', '814', '1449', '1536', '1599', '1653', '1643', '1467', '1642']
592:['868', '1500', '1463', '814', '1449', '1536', '1293', '1599', '1467', '1653']
199:['1500', '814', '1293', '1536', '851', '1463', '1449', '1599', '1458', '1452']
198:['1463', '1536', '814', '1643', '1599', '1500', '1367', '1449', '1368', '1467']
597:['868', '1500', '1463', '814', '1449', '1536', '1293', '851', '1599', '1653']
596:['868', '1492', '1498', '1500', '1463', '814', '1449', '1536', '1293', '851']
195:['814', '1536', '1653', '1463', '1467', '1449', '1500', '1293', '868', '1367']
194:['1293', '1536', '1463', '1653', '1643', '1467', '1500', '1599', '1367', '1449']
197:['1536', '1599', '814', '1367', '1449', '1500', '1653', '1368', '1463', '1467']
196:['1500', '814', '1536', '1491', '1643', '1122', '1463', '1449', '1642', '1467']
191:['868', '1500', '814', '1533', '851', '1599', '1130', '1467', '1604', '1616']
190:['814', '1449', '1536', '851', '1599', '1467', '1500', '868', '1463', '1398']
193:['1500', '814', '1536', '1599', '1449', '1463', '868', '1467', '1642', '1524']
192:['814', '1536', '1293', '851', '1599', '1653', '1467', '1449', '1398', '1463']
270:['302', '474', '246', '100', '515', '427', '165', '480', '498', '23']
271:['1500', '1463', '1536', '1643', '1467', '1653', '814', '1293', '1599', '1642']
272:['1500', '1463', '814', '1368', '1367', '1449', '1524', '1236', '1536', '1080']
273:['1500', '814', '1599', '1536', '851', '1064', '1458', '1653', '1452', '868']
274:['603', '483', '408', '64', '169', '12', '923', '511', '513', '963']
275:['1536', '1653', '1463', '1293', '1367', '1467', '1599', '1500', '1642', '814']
276:['1500', '1463', '814', '1449', '1536', '1599', '1467', '868', '1643', '114']
277:['1500', '1463', '1536', '1293', '1653', '1467', '814', '851', '1449', '1599']
278:['868', '1492', '867', '1498', '1500', '814', '1368', '1449', '1536', '1398']
279:['1463', '1536', '1293', '814', '1467', '1653', '1625', '1643', '1449', '1599']
738:['1463', '1367', '1536', '1599', '1643', '1467', '814', '1368', '1500', '1449']
524:['1500', '1463', '1536', '1293', '1643', '1467', '1653', '1368', '814', '1599']
525:['1463', '1536', '851', '814', '1599', '1467', '1449', '1398', '1500', '1201']
526:['1536', '814', '1500', '1599', '851', '1653', '1449', '1201', '868', '1293']
527:['1500', '1463', '1367', '1536', '1293', '1617', '1599', '1643', '1368', '814']
520:['868', '1500', '814', '1310', '1536', '851', '1599', '1491', '1467', '1293']
521:['1463', '1536', '1653', '1599', '1367', '1449', '814', '1500', '1467', '1080']
522:['1189', '1500', '1463', '814', '1368', '1367', '1449', '1536', '1389', '1431']
523:['302', '474', '98', '603', '427', '480', '479', '272', '483', '178']
599:['302', '474', '486', '98', '194', '603', '515', '427', '512', '480']
528:['1500', '1463', '814', '1367', '1449', '1536', '1625', '1642', '1368', '1398']
529:['513', '868', '641', '848', '656', '1500', '814', '1449', '1293', '851']
449:['1500', '1463', '814', '1536', '1293', '1599', '1467', '1449', '1189', '1491']
448:['814', '1500', '1599', '868', '851', '1536', '1130', '1458', '1452', '1449']
443:['868', '1500', '814', '1449', '1458', '851', '1452', '119', '1536', '1064']
442:['1463', '814', '1536', '1599', '1449', '1643', '1293', '1500', '1367', '868']
441:['868', '814', '1449', '1536', '1293', '851', '1599', '1467', '1604', '1463']
440:['474', '98', '603', '427', '23', '479', '483', '408', '178', '127']
447:['1500', '1463', '814', '1536', '1599', '1653', '1643', '1467', '1449', '1293']
446:['814', '851', '868', '1500', '1599', '1449', '1593', '1536', '1130', '1293']
445:['1653', '1536', '814', '1500', '1463', '1599', '1449', '1467', '851', '868']
444:['868', '1500', '814', '1449', '1536', '851', '1293', '1616', '1651', '1599']
108:['1500', '1463', '1536', '1293', '1467', '814', '851', '1625', '1449', '1398']
109:['1463', '814', '1449', '1536', '1599', '1500', '1653', '1643', '1467', '1367']
102:['1536', '1463', '814', '1599', '1449', '1467', '1500', '1653', '1367', '868']
103:['1500', '1463', '814', '1536', '1293', '1599', '1467', '1080', '1201', '1642']
100:['1500', '814', '1599', '1593', '851', '868', '1536', '1449', '1130', '867']
101:['1463', '1536', '814', '1235', '1599', '851', '1398', '1201', '1449', '1467']
106:['1500', '1463', '814', '1536', '1599', '1656', '1653', '1643', '1467', '1449']
107:['814', '1599', '1500', '868', '1449', '851', '1653', '1593', '1458', '1452']
104:['1536', '1500', '814', '1653', '1599', '851', '1467', '868', '1449', '1463']
105:['868', '1500', '814', '1449', '1536', '1593', '1599', '1458', '1452', '1533']
902:['1536', '814', '1500', '1293', '1463', '1449', '851', '1492', '1498', '1080']
903:['1500', '1463', '814', '1536', '1599', '1653', '1643', '1293', '1449', '1467']
39:['868', '1500', '814', '1449', '1536', '851', '1593', '1599', '1653', '1467']
38:['483', '408', '64', '169', '12', '900', '114', '868', '1500', '1463']
906:['1306', '1189', '1500', '1463', '814', '1449', '1536', '1293', '1235', '851']
907:['242', '302', '346', '474', '265', '486', '246', '193', '194', '603']
904:['868', '1500', '1463', '814', '1449', '1536', '1398', '1064', '1293', '1651']
