344:['474', '483', '513', '480', '179', '657', '180', '178', '603', '59']
345:['357', '611', '515', '408', '134', '190', '45', '705', '427', '178']
346:['258', '114', '28', '69', '408', '87', '483', '313', '474', '516']
347:['191', '511', '10', '603', '64', '513', '89', '178', '408', '1194']
340:['318', '483', '515', '478', '275', '496', '313', '64', '22', '210']
341:['98', '143', '427', '208', '483', '408', '318', '705', '64', '169']
342:['127', '205', '515', '318', '59', '269', '268', '520', '589', '64']
343:['178', '285', '114', '251', '272', '488', '641', '520', '428', '14']
810:['242', '302', '474', '603', '1137', '100', '432', '181', '515', '919']
811:['98', '603', '515', '427', '498', '496', '174', '479', '172', '483']
812:['318', '603', '480', '483', '427', '64', '174', '28', '178', '136']
813:['357', '483', '169', '661', '173', '174', '98', '603', '513', '12']
348:['79', '483', '318', '189', '114', '174', '172', '181', '408', '50']
349:['483', '318', '408', '172', '50', '480', '657', '603', '357', '923']
816:['603', '483', '408', '318', '114', '478', '98', '285', '178', '272']
817:['513', '205', '318', '483', '357', '56', '527', '169', '408', '114']
595:['318', '89', '511', '169', '408', '483', '302', '174', '56', '12']
719:['251', '12', '313', '272', '132', '173', '408', '191', '205', '174']
718:['174', '50', '496', '408', '172', '169', '181', '479', '22', '114']
717:['750', '483', '318', '114', '169', '89', '190', '515', '275', '408']
716:['408', '313', '285', '513', '169', '963', '114', '272', '100', '657']
715:['483', '127', '169', '496', '357', '178', '603', '251', '55', '408']
714:['64', '408', '12', '174', '114', '318', '22', '178', '96', '313']
713:['318', '488', '963', '169', '191', '96', '515', '657', '50', '408']
712:['22', '408', '114', '170', '274', '189', '313', '265', '282', '98']
711:['14', '285', '478', '515', '479', '507', '124', '1137', '513', '606']
710:['513', '408', '480', '178', '114', '169', '657', '963', '430', '48']
915:['427', '357', '480', '187', '318', '483', '127', '169', '64', '496']
914:['318', '603', '480', '408', '169', '98', '483', '515', '272', '357']
606:['318', '272', '408', '169', '902', '513', '1194', '320', '199', '114']
917:['275', '483', '316', '127', '114', '357', '318', '192', '515', '511']
594:['318', '480', '169', '603', '191', '408', '64', '114', '512', '187']
736:['318', '98', '408', '169', '187', '603', '114', '519', '189', '178']
916:['285', '302', '357', '169', '127', '187', '199', '641', '603', '408']
911:['169', '513', '408', '114', '178', '515', '657', '958', '59', '921']
619:['194', '705', '318', '496', '192', '64', '423', '265', '173', '69']
910:['64', '318', '172', '408', '169', '22', '520', '705', '483', '114']
913:['190', '515', '196', '313', '488', '48', '285', '513', '654', '251']
298:['64', '408', '169', '173', '313', '480', '191', '963', '1449', '272']
299:['183', '657', '64', '1007', '316', '272', '178', '705', '180', '530']
296:['474', '603', '479', '513', '178', '318', '408', '8', '661', '197']
297:['14', '408', '134', '318', '427', '178', '483', '285', '316', '169']
294:['64', '318', '178', '12', '272', '174', '134', '408', '98', '114']
295:['603', '480', '408', '178', '64', '197', '169', '57', '488', '114']
292:['318', '357', '272', '302', '192', '178', '191', '513', '134', '182']
293:['191', '525', '276', '641', '511', '178', '269', '652', '488', '475']
290:['313', '12', '173', '485', '79', '963', '316', '114', '427', '480']
291:['318', '515', '302', '169', '408', '178', '520', '709', '316', '272']
591:['169', '178', '318', '474', '114', '480', '515', '124', '134', '479']
